Category,Meaning,Emoji
Technical Analysis,Buy,🔼 💰
Technical Analysis,Sell,🔽 💸
Technical Analysis,Uptrend,📈 ⬆️
Technical Analysis,Downtrend,📉 ⬇️
Technical Analysis,Stoploss,🚫 ❗
Technical Analysis,Breakout,💥
Economy,Money,💵 💰
Economy,Growth,🌱 📈
Economy,Inflation,📈 🔺
Economy,Recession,📉 ⚠️
Health,Hospital,🏥
Health,Doctor,👨‍⚕️ 👩‍⚕️
Health,Vaccine,💉
Health,Medicine,💊
Family,Family,👨‍👩‍👧‍👦
Family,Home,🏠
Family,Parenting,👩‍👧 👨‍👦
Community,Volunteer,🙌 🤝
Community,Environment,🌳 🌍
Community,Equality,⚖️ 🟰
